solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,itae,rapidity,attack_rate,fleet_utilization,solver_step_avg_us,solver_step_max_us,wall_time_ms
pibt,warehouse_single_dock,burst_20pct,random,40,22,true,0.4280,214,0.0112,0.0430,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.9,1237.0,23
pibt,warehouse_single_dock,burst_20pct,random,40,22,false,0.3320,166,0.0087,0.0575,0.7225,0.2743,,1.00,,,0.8000,-22.4299,8124,0.00,1.00,23025.6667,0.00,0.2000,0.7920,41.6,1178.0,21
pibt,warehouse_single_dock,burst_20pct,random,40,33,true,0.4260,213,0.0109,0.0424,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,50.7,4976.0,28
pibt,warehouse_single_dock,burst_20pct,random,40,33,false,0.3260,163,0.0083,0.0792,0.7159,0.2793,,1.00,,,0.8000,-23.4742,9789,0.00,1.00,23204.5000,30.00,0.2000,0.7920,31.2,1208.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,44,true,0.4340,217,0.0112,0.0410,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,47.8,4008.0,38
pibt,warehouse_single_dock,burst_20pct,random,40,44,false,0.3520,176,0.0090,0.0572,0.7760,0.2519,,1.00,,,0.8000,-18.8940,7890,0.00,1.00,23788.3333,0.00,0.2000,0.7910,32.9,1184.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,55,true,0.4300,215,0.0115,0.0417,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,56.8,6471.0,31
pibt,warehouse_single_dock,burst_20pct,random,40,55,false,0.3460,173,0.0092,0.0422,0.7627,0.2469,,1.00,,,0.8000,-19.5349,7906,0.00,1.00,21703.8333,24.00,0.2000,0.7911,32.3,1193.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,101,true,0.4340,217,0.0112,0.0430,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.2,1171.0,22
pibt,warehouse_single_dock,burst_20pct,random,40,101,false,0.2740,137,0.0070,0.2125,0.5506,0.2843,,1.00,,,0.8000,-36.8664,13943,0.00,1.00,24850.5000,0.00,0.2000,0.7938,34.3,1888.0,17
pibt,warehouse_single_dock,burst_20pct,random,40,202,true,0.4240,212,0.0111,0.0437,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.6,1173.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,202,false,0.3520,176,0.0094,0.0457,0.7966,0.2494,,1.00,,,0.8000,-16.9811,7470,0.00,1.00,21999.0000,23.00,0.2000,0.7906,31.2,1156.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,303,true,0.4280,214,0.0115,0.0452,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.8,1179.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,303,false,0.2200,110,0.0056,0.1009,0.4378,0.2993,,1.00,,,0.8000,-48.5981,17930,0.00,1.00,26427.8333,35.00,0.2000,0.7948,33.0,1916.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,404,true,0.4120,206,0.0109,0.0411,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,53.7,4130.0,30
pibt,warehouse_single_dock,burst_20pct,random,40,404,false,0.2460,123,0.0062,0.0827,0.5257,0.2693,,3.00,,,0.8000,-40.2913,15246,0.00,1.00,23075.5000,3.00,0.2000,0.7943,28.7,1186.0,14
pibt,warehouse_single_dock,burst_20pct,random,40,505,true,0.4240,212,0.0113,0.0417,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,35.0,1168.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,505,false,0.2260,113,0.0063,0.3036,0.4375,0.2668,,2.00,,,0.8000,-46.6981,16160,0.00,1.00,24194.0000,43.00,0.2000,0.7948,34.3,2366.0,17
pibt,warehouse_single_dock,burst_20pct,random,40,1111,true,0.4320,216,0.0114,0.0452,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.9,1195.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,1111,false,0.2460,123,0.0063,0.1102,0.4686,0.2693,,2.00,,,0.8000,-43.0556,14946,0.00,1.00,24181.0000,35.00,0.2000,0.7948,29.3,1194.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,2222,true,0.4200,210,0.0109,0.0421,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,81.7,15126.0,44
pibt,warehouse_single_dock,burst_20pct,random,40,2222,false,0.3480,174,0.0088,0.0579,0.7931,0.2344,,1.00,,,0.8000,-17.1429,7174,0.00,1.00,20313.5000,5.00,0.2000,0.7913,40.7,1922.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,3333,true,0.4160,208,0.0110,0.0421,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.5,1216.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,3333,false,0.2660,133,0.0067,0.0871,0.5739,0.2569,,1.00,,,0.8000,-36.0577,13984,0.00,1.00,22422.5000,0.00,0.2000,0.7936,29.3,1160.0,15
pibt,warehouse_single_dock,burst_20pct,random,40,4444,true,0.4260,213,0.0112,0.0424,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.5,1164.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,4444,false,0.3440,172,0.0090,0.0607,0.7670,0.2544,,1.00,,,0.8000,-19.2488,7493,0.00,1.00,22056.6667,28.00,0.2000,0.7911,35.7,1169.0,18
pibt,warehouse_single_dock,burst_20pct,random,40,5555,true,0.4100,205,0.0106,0.0443,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,34.0,1148.0,20
pibt,warehouse_single_dock,burst_20pct,random,40,5555,false,0.3340,167,0.0086,0.0939,0.7778,0.2494,,1.00,,,0.8000,-18.5366,7335,0.00,1.00,23818.3333,0.00,0.2000,0.7915,32.1,1289.0,16
pibt,warehouse_single_dock,burst_20pct,random,40,10000,true,0.4320,216,0.0108,0.0448,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.0000,0.00,0.0000,1.0000,70.2,4433.0,38
pibt,warehouse_single_dock,burst_20pct,random,40,10000,false,0.3160,158,0.0080,0.0635,0.6831,0.2793,,1.00,,,0.8000,-26.8519,11977,0.00,1.00,23441.8333,102.00,0.2000,0.7921,40.1,1598.0,20
