solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,true,1.7267,518,0.0118,0.1128,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8867,24180806.1,131805499.0,7254248
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,false,1.5533,466,0.0108,0.1869,0.8510,0.1493,,1.00,,,1.0000,-10.0386,7144,0.07,1.07,7.67,12.00,-6.61,6586.9365,,0.3245,0.9899,0.7733,24011704.8,123664729.0,7204878
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,true,1.7000,510,0.0114,0.1104,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8667,1105244.7,4380944.0,331578
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,false,1.5267,458,0.0102,0.1989,0.8497,0.1642,,1.00,,,1.0000,-10.1961,8549,0.00,1.00,7.34,15.00,-6.34,8829.0643,,0.3709,0.9903,0.7133,850261.4,3747433.0,256529
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,true,0.4233,127,0.0028,0.7690,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9600,755058.1,21105651.0,226537
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,false,0.4233,127,0.0028,0.7690,1.0000,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,12.11,21.00,-11.11,0.0000,,0.2318,0.9999,0.9600,658436.1,18449141.0,198727
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,true,1.6667,500,0.0124,0.1084,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8933,8356495.9,53877180.0,2506954
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,false,1.4967,449,0.0108,0.1947,0.8482,0.1294,,1.00,,,1.0000,-10.2000,8049,0.07,1.07,7.56,14.00,-6.49,6485.9587,,0.3841,0.9899,0.8333,7305625.7,42461371.0,2193402
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,true,0.5167,155,0.0042,0.6797,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9533,20536860.0,331138551.0,6161063
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,42,false,0.5000,150,0.0041,0.6958,0.6667,0.0299,,1.00,,,1.0000,-3.2258,981,0.03,1.03,11.32,16.00,-10.29,226.0000,,0.2318,0.9997,0.9533,14937317.8,260560086.0,4481971
