solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,true,0.4300,129,0.0085,0.3937,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7467,1019058.8,7334512.0,305729
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,false,0.3200,96,0.0057,0.5495,0.4844,0.1642,,1.00,,,1.0000,-25.5814,4611,0.00,1.00,4.94,9.00,-3.94,2196.0000,,0.2833,0.9971,0.2867,981137.5,6805303.0,294407
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,true,0.0267,8,0.0004,0.9341,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.0400,16443.8,48001.0,4937
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,false,0.0267,8,0.0004,0.9341,1.0000,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,4.36,8.00,-3.36,0.0000,,0.4667,0.9999,0.0400,16229.1,41023.0,4970
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,true,0.0267,8,0.0004,0.9341,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.0400,16500.1,48323.0,4954
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,false,0.0267,8,0.0004,0.9341,1.0000,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,4.36,8.00,-3.36,0.0000,,0.4667,0.9999,0.0400,16274.4,42614.0,4988
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,true,0.0867,26,0.0015,0.8250,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9333,131997.8,3242390.0,39604
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,false,0.0867,26,0.0015,0.8250,,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,4.33,6.00,-3.33,0.0000,,0.1000,1.0000,0.9333,126177.7,3150407.0,37864
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,true,0.6333,190,0.0127,0.1093,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.4933,3616626.4,23009451.0,1084992
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,42,false,0.5933,178,0.0111,0.1722,0.9016,0.1393,,1.00,,,1.0000,-6.3158,2298,0.00,1.00,5.71,8.00,-4.71,5667.9333,,0.2833,0.9899,0.3667,4184763.9,24520681.0,1255493
