solver,topology,scenario,scheduler,num_agents,num_seeds,throughput_mean,throughput_std,throughput_ci95_lo,throughput_ci95_hi,tasks_mean,tasks_std,ft_n,ft_mean,ft_std,ft_ci95_lo,ft_ci95_hi,ct_n,critical_time_mean,critical_time_std,deficit_recovery_mean,deficit_recovery_std,throughput_recovery_mean,throughput_recovery_std,survival_rate_mean,impacted_area_mean,deficit_integral_mean,cascade_depth_mean,cascade_depth_std,cascade_spread_mean,cascade_spread_std,structural_cascade_mean,structural_cascade_std,structural_cascade_max_mean,mitigation_delta_mean,mitigation_delta_std,itae_mean,itae_std,rapidity_mean,rapidity_std,attack_rate_mean,attack_rate_std,fleet_utilization_mean,fleet_utilization_std,solver_step_us_mean,wall_time_ms_mean
rhcr_pbs,warehouse_single_dock_w2,intermittent_80s80m15r,closest,108,100,0.6804,0.2471,0.6320,0.7289,204.1,74.1,96,0.8239,1.6839,0.4870,1.1607,100,0.1766,0.0987,50.31,61.67,1.04,0.20,1.0000,-23.1308,9204.5,0.46,0.11,1.65,0.22,7.64,1.55,20.50,-6.00,1.55,6079.0211,3340.4667,NaN,NaN,0.9835,0.0152,0.9937,0.0037,7099230.8,2135366
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,100,0.8764,0.3634,0.8052,0.9477,262.9,109.0,95,1.0050,0.8928,0.8255,1.1845,99,0.1309,0.1025,73.83,68.92,0.99,0.10,1.0000,-5.8409,4329.3,0.04,0.08,1.04,0.14,5.28,2.56,9.20,-4.24,2.53,5426.0673,2997.4610,61.67,31.68,0.2130,0.1694,0.9918,0.0045,6902871.1,2071285
