solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,123,true,1.2533,376,0.0130,0.1127,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7933,40623472.7,1463009282.0,12187051
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,123,false,1.2533,376,0.0135,0.1301,1.0000,0.1144,184.00,1.00,,298,1.0000,0.0000,1060,0.00,1.00,2.11,5.00,-1.11,6966.1000,,0.0833,0.9863,0.7800,26676312.6,156109798.0,8003109
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,true,1.2500,375,0.0127,0.1039,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7133,7148014.8,41717207.0,2144415
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,false,0.7667,230,0.0082,0.4176,0.4269,0.2886,,1.00,,,1.0000,-38.6667,10049,0.00,1.00,7.52,10.00,-6.52,8627.4000,,0.2500,0.9940,0.7867,7167714.1,52975384.0,2150900
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,true,0.8000,240,0.0075,0.4012,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8667,283537.4,1130433.0,85073
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,false,1.1267,338,0.0106,0.1944,1.7903,0.0846,104.00,1.00,,218,1.0000,40.8333,2188,0.09,1.09,7.59,12.00,-6.50,2391.3333,,0.3241,0.9896,0.7067,380138.8,1683773.0,114668
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,true,1.2267,368,0.0114,0.1041,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.6733,686038.2,8266702.0,205820
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,false,0.9433,283,0.0089,0.2785,0.6586,0.2388,,1.00,,,1.0000,-23.0978,11573,0.17,1.17,6.20,10.00,-5.03,7350.4381,,0.3241,0.9923,0.5200,1426169.5,9719397.0,428544
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,true,0.1800,54,0.0019,0.8308,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9733,793236.3,21284394.0,237976
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,false,0.1800,54,0.0019,0.8354,1.0000,0.0000,0.00,1.00,,,1.0000,0.0000,0,0.00,1.00,9.30,16.00,-8.30,0.0000,,0.0926,0.9994,0.9733,1144770.0,30642835.0,343651
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,true,1.2600,378,0.0127,0.1012,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7133,44564163.2,1374435382.0,13369256
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,456,false,0.8000,240,0.0082,0.4045,0.4545,0.3085,,1.00,,,1.0000,-36.5079,10785,0.11,1.11,7.16,12.00,-6.05,8986.1667,,0.3796,0.9940,0.7467,19445179.7,166288485.0,5834191
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,true,1.1600,348,0.0118,0.1518,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8000,7020337.0,41230083.0,2106112
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,789,false,1.1267,338,0.0112,0.2041,0.9554,0.1642,,1.00,,,1.0000,-2.8736,5988,0.02,1.02,6.51,15.00,-5.49,7472.3857,64.00,0.5000,0.9894,0.7000,9961479.8,60150383.0,2989691
