solver,topology,scenario,scheduler,num_agents,num_seeds,throughput_mean,throughput_std,throughput_ci95_lo,throughput_ci95_hi,tasks_mean,tasks_std,ft_n,ft_mean,ft_std,ft_ci95_lo,ft_ci95_hi,ct_n,critical_time_mean,critical_time_std,deficit_recovery_mean,deficit_recovery_std,throughput_recovery_mean,throughput_recovery_std,survival_rate_mean,impacted_area_mean,deficit_integral_mean,cascade_depth_mean,cascade_depth_std,cascade_spread_mean,cascade_spread_std,structural_cascade_mean,structural_cascade_std,structural_cascade_max_mean,mitigation_delta_mean,mitigation_delta_std,itae_mean,itae_std,rapidity_mean,rapidity_std,attack_rate_mean,attack_rate_std,fleet_utilization_mean,fleet_utilization_std,solver_step_us_mean,wall_time_ms_mean
rhcr_pbs,warehouse_single_dock_w3,intermittent_80s80m15r,closest,151,100,0.7925,0.3841,0.7172,0.8678,237.7,115.2,94,0.9122,1.6798,0.5726,1.2518,100,0.1530,0.1314,37.83,48.27,1.06,0.24,1.0000,-18.1719,10334.1,0.46,0.13,1.65,0.28,10.17,2.15,24.59,-8.52,2.19,5166.0546,4254.1405,NaN,NaN,0.9765,0.0182,0.9950,0.0039,15308953.5,4607065
rhcr_pbs,warehouse_single_dock_w3,zone_50t,closest,151,100,1.0365,0.5754,0.9237,1.1492,310.9,172.6,92,1.0618,0.6682,0.9253,1.1983,99,0.0914,0.1019,42.23,56.19,0.99,0.10,1.0000,-3.4954,4145.5,0.03,0.07,1.03,0.13,7.35,3.68,12.33,-6.32,3.66,4312.9603,3641.5312,50.18,39.38,0.1915,0.1924,0.9934,0.0048,15737905.0,4722402
