solver,topology,scenario,scheduler,num_agents,num_seeds,throughput_mean,throughput_std,throughput_ci95_lo,throughput_ci95_hi,tasks_mean,tasks_std,ft_n,ft_mean,ft_std,ft_ci95_lo,ft_ci95_hi,ct_n,critical_time_mean,critical_time_std,deficit_recovery_mean,deficit_recovery_std,throughput_recovery_mean,throughput_recovery_std,survival_rate_mean,impacted_area_mean,deficit_integral_mean,cascade_depth_mean,cascade_depth_std,cascade_spread_mean,cascade_spread_std,structural_cascade_mean,structural_cascade_std,structural_cascade_max_mean,mitigation_delta_mean,mitigation_delta_std,itae_mean,itae_std,rapidity_mean,rapidity_std,attack_rate_mean,attack_rate_std,fleet_utilization_mean,fleet_utilization_std,solver_step_us_mean,wall_time_ms_mean
rhcr_pbs,warehouse_single_dock,intermittent_80s80m15r,closest,60,100,0.2057,0.1835,0.1697,0.2416,61.7,55.1,70,1.0166,0.6793,0.8575,1.1758,100,0.0753,0.1005,27.73,53.28,1.02,0.14,1.0000,-6.5222,2194.0,0.45,0.21,1.85,0.61,4.94,0.84,10.99,-3.10,0.96,2168.1018,3008.6913,22.50,30.14,0.9812,0.0228,0.9964,0.0047,868789.0,261189
rhcr_pbs,warehouse_single_dock,zone_50t,closest,60,100,0.2501,0.2412,0.2028,0.2973,75.0,72.4,71,1.1206,0.7740,0.9405,1.3006,91,0.0625,0.0899,17.03,40.59,0.91,0.29,1.0000,0.1784,1123.9,0.07,0.21,1.00,0.47,3.42,1.64,5.47,-2.42,1.51,1732.9837,2442.5378,25.88,25.39,0.2093,0.1863,0.9966,0.0048,920912.5,276315
